question,votes,tags
How to add a new column to an existing DataFrame?,1245,python pandas dataframe chained-assignment
How do I connect to a MySQL Database in Python?,1242,python mysql
Running shell command and capturing the output,1241,python shell subprocess
"If Python is interpreted, what are .pyc files?",1239,python compiled interpreted-language pyc
Display number with leading zeros,1238,python integer string-formatting
How do I find the location of my Python site-packages directory?,1238,python installation
Getting key with maximum value in dictionary?,1235,python dictionary max
How do I check if a variable exists?,1232,python exception variables
How does the @property decorator work in Python?,1229,python properties decorator python-decorators python-internals
What is a mixin and why is it useful?,1222,python oop multiple-inheritance mixins
How to drop rows of Pandas DataFrame whose value in a certain column is NaN,1219,python pandas dataframe nan
How to get line count of a large file cheaply in Python?,1219,python text-files line-count
How to get the ASCII value of a character,1219,python ascii
Putting a simple if-then-else statement on one line [duplicate],1210,python if-statement syntax ternary-operator
How do I get file creation and modification date/times?,1207,python file
pg_config executable not found,1206,python pip psycopg2
Does Django scale? [closed],1205,python django web-applications scalability
What is the difference between null=True and blank=True in Django?,1205,python django django-models
Best way to return multiple values from a function? [closed],1197,python coding-style return return-value
What does the 'b' character do in front of a string literal?,1194,python string unicode binary
Count the number of occurrences of a character in a string,1181,python string count
How does Python's super() work with multiple inheritance?,1178,python multiple-inheritance
How to make a class JSON serializable,1177,python json serialization
How do I trim whitespace?,1177,python string whitespace trim strip
How to catch and print the full exception traceback without halting/exiting the program?,1163,python exception try-catch traceback
"""Large data"" workflows using pandas [closed]",1158,python mongodb pandas hdf5 large-data
"Difference between del, remove, and pop on lists",1155,python list
How do I get a list of locally installed Python modules?,1152,python module pip
How to deal with SettingWithCopyWarning in Pandas,1152,python pandas dataframe chained-assignment
How to return dictionary keys as a list in Python?,1145,python python-3.x list dictionary python-2.x
How can I represent an 'Enum' in Python?,1142,python python-3.x enums
How can I iterate through two lists in parallel?,1139,python list for-loop iterator
What are the most common Python docstring formats? [closed],1136,python coding-style documentation docstring
Fastest way to check if a value exists in a list,1135,python performance list
"How to overcome ""datetime.datetime not JSON serializable""?",1133,python json
"Extract file name from path, no matter what the os/path format",1129,python
How to print an exception in Python?,1129,python exception error-handling
How to parse XML and get instances of a particular node attribute?,1126,python xml
Is there a simple way to delete a list element by value?,1123,python list
What's the difference between lists and tuples?,1120,python list tuples
Get the data received in a Flask request,1114,python flask werkzeug
Get difference between two lists,1114,python performance list set set-difference
"What are ""named tuples"" in Python?",1109,python tuples namedtuple
Use a list of values to select rows from a Pandas dataframe,1107,python pandas dataframe
How do I install a Python package with a .whl file?,1103,python pip python-wheel jpype
Remove all whitespace in a string,1099,python trim removing-whitespace
"Should I put #! (shebang) in Python scripts, and what form should it take?",1099,python shell python-3.x shebang
What is the difference between old style and new style classes in Python?,1095,python class oop types new-style-class
Get unique values from a list in python [duplicate],1092,python list
How do you test that a Python function throws an exception?,1090,python unit-testing exception
What is the correct cross-platform way to get the home directory in Python?,1090,python cross-platform home-directory
How can I import other Python files?,1080,python python-import python-module python-packaging
Maximum and Minimum values for ints,1071,python integer
How to sort a list of objects based on an attribute of the objects?,1068,python list sorting count
Checking whether a variable is an integer or not [duplicate],1068,python integer
Should I use 'has_key()' or 'in' on Python dicts?,1062,python dictionary
Usage of __slots__?,1061,python oop python-internals slots
How to convert list to string [duplicate],1053,python string list
Converting from a string to boolean in Python?,1047,python string boolean
Converting unix timestamp string to readable date,1044,python datetime unix-timestamp strftime
Find all files in a directory with extension .txt in Python,1041,python file-io
How to print a number using commas as thousands separators,1033,python number-formatting
How to download a file over HTTP?,1033,python http urllib
Convert a String representation of a Dictionary to a dictionary?,1031,python string dictionary
How to subtract a day from a date?,1029,python datetime date
Convert list of dictionaries to a pandas DataFrame,1028,python dictionary pandas dataframe
What IDE to use for Python? [closed],1025,python ide editor
List comprehension vs. lambda + filter,1025,python list functional-programming filter lambda
How do I remove/delete a folder that is not empty?,1022,python file
Pretty-print an entire Pandas Series / DataFrame,1021,python pandas dataframe
How to emulate a do-while loop?,1020,python while-loop do-while
How do I check file size in Python?,1011,python file
How do I unload (reload) a Python module?,1004,python module reload python-import
Python's equivalent of && (logical-and) in an if-statement,994,python
Behaviour of increment and decrement operators in Python,984,python operators increment decrement
How to create a GUID/UUID in Python,983,python uuid guid uniqueidentifier
Find which version of package is installed with pip,978,python pip
What is the easiest way to remove all packages installed by pip?,977,python pip virtualenv python-packaging
How are lambdas useful? [closed],971,python function lambda closures
Peak detection in a 2D array,971,python image-processing
How do I concatenate items in a list to a single string?,970,python string list concatenation
How do I remove the first item from a list?,970,python list
How to get a function name as a string?,968,python string function
mkdir -p functionality in Python [duplicate],967,python path directory-structure mkdir
What is the difference between pip and conda?,966,python pip ipython package-managers conda
How can I write a `try`/`except` block that catches all exceptions?,962,python exception
Why use pip over easy_install?,962,python pip setuptools easy-install pypi
Why dict.get(key) instead of dict[key]?,961,python dictionary
How to retrieve a module's path?,959,python module inotify
How to set environment variables in Python?,958,python environment-variables
How do I type hint a method with the type of the enclosing class?,958,python python-3.x pycharm type-hinting python-typing
How can I make a Python script standalone executable to run without ANY dependency? [duplicate],955,python executable
Multiprocessing vs Threading Python [duplicate],954,python multithreading multiprocessing
Writing a pandas DataFrame to CSV file,952,python csv pandas dataframe
How to get an absolute file path in Python,951,python path relative-path absolute-path
What is the naming convention in Python for variable and function names?,949,python variables function naming-conventions
How to check if type of a variable is string?,944,python string variables types
Traverse a list in reverse order in Python,943,python loops reverse
How to POST JSON data with Python Requests?,940,python json python-requests cherrypy
What do __init__ and self do in Python?,940,python oop self
What is __pycache__?,937,python python-3.x caching
Python integer incrementing with ++ [duplicate],936,python syntax increment
pip install from git repo branch,936,python git pip
How do you remove duplicates from a list whilst preserving order?,935,python list duplicates unique
How to remove items from a list while iterating?,933,python iteration
How to use a decimal range() step value?,932,python floating-point range
"What are the differences between the urllib, urllib2, urllib3 and requests module?",932,python python-requests urllib2 urllib python-2.x
How to use glob() to find files recursively?,928,python path filesystems glob fnmatch
Importing modules from parent folder,927,python module path directory python-import
pip install mysql-python fails with EnvironmentError: mysql_config not found,921,python pip mysql-python
How to make IPython notebook matplotlib plot inline,920,python matplotlib jupyter-notebook ipython data-visualization
Python `if x is not None` or `if not x is None`? [closed],919,python coding-style nonetype boolean-expression pep8
Convert hex string to int in Python,915,python string hex
Is there any way to kill a Thread?,914,python multithreading kill terminate
How do I determine the size of an object in Python?,912,python object memory memory-management sizeof
Parsing boolean values with argparse,908,python boolean argparse command-line-arguments
How to check the version of Python modules,908,python python-2.7
Reverse / invert a dictionary mapping,903,python dictionary mapping reverse
How do I convert a datetime to date?,902,python datetime
Running unittest with typical test directory structure,901,python unit-testing
Why does Python code run faster in a function?,898,python performance profiling benchmarking cpython
Is there a list of Pytz Timezones?,898,python django pytz
How can I parse a YAML file in Python,895,python yaml
python setup.py uninstall,894,python setup.py pypi
How do I detect whether a Python variable is a function?,891,python
How to properly ignore exceptions,889,python exception try-except
"What is a clean ""pythonic"" way to implement multiple constructors?",881,python class constructor
List comprehension vs map,881,python list-comprehension map-function
What is the best project structure for a Python application? [closed],880,python directory-structure organization project-structure
Remove empty strings from a list of strings,879,python string list
Writing a list to a file with Python,876,python file list file-io newline
Shuffling a list of objects,872,python list random shuffle
error: Unable to find vcvarsall.bat,872,python windows pip setup.py failed-installation
Get key by value in dictionary,871,python dictionary
How do I expand the output display to see more columns of a Pandas DataFrame?,870,python pandas printing column-width
List of lists changes reflected across sublists unexpectedly,865,python list nested-lists mutable
"What is __future__ in Python used for and how/when to use it, and how it works",864,python python-2.x
How do I do a not equal in Django queryset filtering?,863,python django django-models django-queryset
How to import the class within the same directory or sub directory?,862,python python-import
How do you get the logical xor of two variables in Python?,861,python logical-operators
Using Python 3 in virtualenv,857,python python-3.x virtualenv
What does functools.wraps do?,854,python decorator functools
Deleting DataFrame row in Pandas based on column value,851,python pandas
not None test in Python [duplicate],851,python nonetype
Convert date to datetime in Python,850,python datetime date
How to define a two-dimensional array?,846,python list multidimensional-array
open() in Python does not create a file if it doesn't exist,843,python linux file-io file-permissions
How to sort a list/tuple of lists/tuples by the element at a given index?,840,python list sorting tuples
Python: What OS am I running on?,838,python cross-platform platform-specific platform-agnostic
UnicodeDecodeError: 'charmap' codec can't decode byte X in position Y: character maps to <undefined>,837,python python-3.x unicode file-io decode
How can I use Python to get the system hostname?,835,python hostname
How are iloc and loc different?,835,python pandas dataframe indexing pandas-loc
"How can I open multiple files using ""with open"" in Python?",835,python file-io
Combine two columns of text in pandas dataframe,828,python pandas dataframe
Getting a list of all subdirectories in the current directory,828,python directory subdirectory
Print string to text file,826,python string text file-io
How do I parse an ISO 8601-formatted date?,825,python datetime iso8601 datetime-parsing rfc3339
"What does the ""at"" (@) symbol do in Python?",825,python syntax python-decorators
What does -> mean in Python function definitions?,823,python python-3.x annotations function-definition
What is the purpose and use of **kwargs? [duplicate],822,python keyword-argument
Python: Find in list,821,python find
What is the difference between range and xrange functions in Python 2.X?,814,python loops range python-2.x xrange
How can I iterate over files in a given directory?,813,python iterator directory
"TypeError: a bytes-like object is required, not 'str' when writing to a file in Python 3",813,python python-3.x string file byte
How do I get the day of week given a date?,811,python date datetime time weekday
Styling multi-line conditions in 'if' statements? [closed],808,python coding-style if-statement
How do I set the figure title and axes labels font size in Matplotlib?,807,python matplotlib
Argparse optional positional arguments?,805,python argparse
"How to fix ""Attempted relative import in non-package"" even with __init__.py",803,python package python-import importerror init
How to get the last day of the month?,800,python date
"Purpose of ""%matplotlib inline""",800,python matplotlib jupyter-notebook ipython
Equivalent of shell 'cd' command to change the working directory?,798,python cd
"What exactly do ""u"" and ""r"" string prefixes do, and what are raw string literals?",797,python unicode python-2.x rawstring
"How to print the full NumPy array, without truncation?",795,python arrays numpy options output-formatting
How to change a string into uppercase,795,python string uppercase
Import a module from a relative path,791,python relative-path python-import
How to test multiple variables for equality against a single value?,790,python if-statement comparison match boolean-logic
Adding a method to an existing object instance,788,python oop methods monkeypatching
How to change the font size on a matplotlib plot,787,python matplotlib font-size
Automatically create requirements.txt,787,python dependencies python-import requirements.txt
Best way to strip punctuation from a string,787,python string punctuation
Why is python setup.py saying invalid command 'bdist_wheel' on Travis CI?,783,python travis-ci setup.py pypi
How to check if a string is a substring of items in a list of strings?,781,python string list
Using @property versus getters and setters,781,python properties getter-setter
How to convert string representation of list to a list?,780,python string
Create an empty list with certain size in Python,779,python list
ImportError: No module named requests,779,python python-requests python-import
How to print a date in a regular format?,778,python datetime date
How to generate all permutations of a list?,777,python algorithm permutation combinatorics python-2.5
How to use multiprocessing pool.map with multiple arguments,777,python multiprocessing python-multiprocessing
"Difference between modes a, a+, w, w+, and r+ in built-in open function?",776,python
Why are Python's 'private' methods not actually private?,776,python python-2.7 encapsulation information-hiding
Split Strings into words with multiple word boundary delimiters,775,python string split
How can I force division to be floating point? Division keeps rounding down to 0?,774,python floating-point integer division python-2.x
How do I update/upgrade pip itself from inside my virtual environment?,773,python upgrade virtualenv pip package-managers
Why is [] faster than list()?,770,python performance list instantiation literals
Why shouldn't I use PyPy over CPython if PyPy is 6.3 times faster?,769,python performance jit pypy cpython
What does the Ellipsis object do?,766,python ellipsis
Pandas Merging 101,763,python pandas join merge concatenation
What is the Python equivalent of static variables inside a function?,761,python static
python exception message capturing,760,python exception logging except
Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2,758,python tensorflow cpu avx
What is the difference between dict.items() and dict.iteritems() in Python2?,758,python dictionary python-2.x
How can I capitalize the first letter of each word in a string?,757,python capitalization capitalize
Is arr.__len__() the preferred way to get the length of an array in Python?,756,python arrays methods
What's the difference between a Python module and a Python package?,754,python module package
"Creating an empty Pandas DataFrame, then filling it?",750,python dataframe pandas
Convert all strings in a list to int,749,python list int
IndentationError: unindent does not match any outer indentation level,747,python indentation
What is monkey patching?,746,python terminology monkeypatching
How to create a zip archive of a directory?,741,python zip archive python-zipfile
Filter pandas DataFrame by substring criteria,735,python string pandas dataframe
How do I call a parent class's method from a child class in Python?,734,python class oop object inheritance
Which Python memory profiler is recommended? [closed],733,python performance memory-management profiling
How to serve static files in Flask,732,python flask static-files
How does collections.defaultdict work?,732,python dictionary default-value defaultdict
Which exception should I raise on bad/illegal argument combinations in Python?,731,python exception arguments
How do I protect Python code from being read by users?,730,python licensing obfuscation copy-protection
"What is the intended use of the optional ""else"" clause of the ""try"" statement in Python?",730,python exception
What does the star and doublestar operator mean in a function call?,728,python syntax parameter-passing iterable-unpacking argument-unpacking
Python int to binary string?,725,python binary string.format
Getting today's date in YYYY-MM-DD in Python?,724,python datetime python-datetime
"Saving utf-8 texts with json.dumps as UTF8, not as \u escape sequence",724,python json unicode utf-8 escaping
Shuffle DataFrame rows,723,python pandas dataframe permutation shuffle
How to read/process command line arguments?,723,python command-line command-line-arguments
"What is the purpose of the single underscore ""_"" variable in Python?",723,python variables naming-conventions metasyntactic-variable
Speed comparison with Project Euler: C vs Python vs Erlang vs Haskell,721,python c performance haskell erlang
"What is a ""slug"" in Django?",721,python django url django-models slug
TypeError: 'module' object is not callable,721,python sockets
How to convert index of a pandas dataframe into a column,719,python pandas dataframe indexing series
How to find out the number of CPUs using python,718,python system-information
Single quotes vs. double quotes in Python [closed],718,python coding-style
Unzipping files in Python,717,python zip unzip python-zipfile
How can the Euclidean distance be calculated with NumPy?,717,python numpy euclidean-distance
Call a function from another file?,717,python file function import
How to count the NaN values in a column in pandas DataFrame,716,python pandas dataframe
What is the difference between __init__ and __call__?,716,python class oop object callable-object
How to filter Pandas dataframe using 'in' and 'not in' like in SQL,715,python pandas dataframe sql-function
How to print instances of a class using print()?,715,python class printing object
How do I get my program to sleep for 50 milliseconds?,713,python timer sleep
How to make a python script wait for a pressed key?,713,python wait keyboard-input
How do I append one string to another in Python?,713,python string append
How do I remove packages installed with Python's easy_install?,713,python packages setuptools easy-install
Dump a NumPy array into a csv file,712,python arrays csv numpy
Fixed digits after decimal with f-strings,711,python python-3.x f-string
Get current time in milliseconds in Python?,710,python datetime time
Difference between Python's Generators and Iterators,710,python iterator generator
Remove final character from string,709,python string
How do I get indices of N maximum values in a NumPy array?,708,python numpy max numpy-ndarray
"Truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()",707,python pandas dataframe boolean filtering
What does 'super' do in Python? - difference between super().__init__() and explicit superclass __init__(),703,python oop inheritance multiple-inheritance super
How to make a timezone aware datetime object,702,python datetime timezone python-datetime pytz
Asking the user for input until they give a valid response,702,python validation input
How do I do a case-insensitive string comparison?,701,python comparison case-insensitive
Set value for particular cell in pandas DataFrame using index,701,python pandas dataframe cell nan
"Get statistics for each group (such as count, mean, etc) using pandas GroupBy?",700,python pandas dataframe group-by pandas-groupby
How to disable Python warnings?,700,python suppress-warnings
Is there a portable way to get the current username in Python?,700,python portability
How can I get the concatenation of two lists in Python without modifying either one? [duplicate],699,python concatenation sequence list-manipulation
Split string with multiple delimiters in Python [duplicate],694,python string split delimiter
How to delete the contents of a folder?,694,python file
What is the quickest way to HTTP GET in Python?,694,python http networking
What's the idiomatic syntax for prepending to a short python list?,694,python list prepend
Does Python have “private” variables in classes?,692,python class private
Can I force pip to reinstall the current version?,692,python pip packages
How can I represent an infinite number in Python?,692,python infinite infinity
Create list of single item repeated N times,689,python list-comprehension multiplication replicate
"Python and pip, list all versions of a package that's available?",688,python pip
Filter dict to contain only certain keys?,685,python dictionary
How do you round UP a number?,682,python floating-point integer rounding
Append integer to beginning of list in Python [duplicate],681,python list variables append
How to urlencode a querystring in Python?,680,python urllib urlencode
How to calculate number of days between two given dates,680,python date datetime
Python list of dictionaries search,679,python search dictionary
"When to use cla(), clf() or close() for clearing a plot in matplotlib?",678,python matplotlib plot
What is the best way to remove accents (normalize) in a Python unicode string?,677,python python-3.x unicode python-2.x diacritics
ImportError: Cannot import name X,675,python python-import importerror circular-dependency
"Changing the ""tick frequency"" on x or y axis in matplotlib",674,python matplotlib plot axes xticks
How can I see normal print output created during pytest run?,674,python logging output pytest
Remove specific characters from a string in Python,670,python string replace immutability
TensorFlow not found using pip,669,python tensorflow pip
How to check Django version,668,python django
Return a default value if a dictionary key is not available,668,python dictionary key nonetype
Are dictionaries ordered in Python 3.6+?,666,python python-3.x dictionary python-internals python-3.6
Dealing with multiple Python versions and PIP?,663,python pip
Import multiple csv files into pandas and concatenate into one DataFrame,662,python pandas csv dataframe concatenation
What is the Python equivalent for a case/switch statement? [duplicate],662,python switch-statement match case
How can I fill out a Python string with spaces?,661,python string string-formatting pad
How can I pass a list as a command-line argument with argparse?,661,python argparse
Add a new item to a dictionary in Python [duplicate],661,python dictionary items
How to get the position of a character in Python?,660,python string
Python progression path - From apprentice to guru,659,python
Does Python's time.time() return the local or UTC timestamp?,654,python time timezone
Why is __init__() always called after __new__()?,652,python design-patterns class-design
Finding local IP addresses using Python's stdlib,651,python
How can I break out of multiple loops?,651,python nested-loops break control-flow
How to avoid Python/Pandas creating an index in a saved csv?,651,python csv indexing pandas
Why does python use 'else' after for and while loops?,649,python if-statement for-loop for-else
How to state in requirements.txt a direct github source,649,python github pip requirements.txt
Determine function name from within that function (without using traceback),648,python function introspection traceback
How to set the current working directory? [duplicate],648,python working-directory
"How can I check if a string represents an int, without using try/except?",647,python string integer
Getting file size in Python? [duplicate],646,python file size
"What is the python keyword ""with"" used for? [duplicate]",646,python
Is it possible to break a long line to multiple lines in Python? [duplicate],645,python line-breaks
How to build a basic iterator?,642,python object iterator
What is a Python egg?,641,python package egg
How would you make a comma-separated string from a list of strings?,640,python string list
Convert list to tuple in Python,640,python python-2.7 tuples
How to save/restore a model after training?,640,python tensorflow
"How to install psycopg2 with ""pip"" on Python?",639,python virtualenv psycopg2 pip
How do I log a Python error with debug information?,639,python exception logging exception-handling
Convert pandas dataframe to NumPy array,639,python arrays pandas numpy dataframe
Does Python have an ordered set?,639,python set
How do I capture SIGINT in Python?,638,python controls signals
"How do I convert seconds to hours, minutes and seconds?",637,python datetime
How to install pip with Python 3?,637,python python-3.x pip package setuptools
Getting the index of the returned max or min item using max()/min() on a list,634,python list max min
How do I use raw_input in Python 3,634,python python-3.x
"Simple argparse example wanted: 1 argument, 3 results",633,python argparse
"How to debug in Django, the good way? [closed]",632,python django debugging
What is the difference between re.search and re.match?,631,python regex search match
Converting a Pandas GroupBy output from Series to DataFrame,630,python pandas dataframe pandas-groupby multi-index
"Is there a difference between ""=="" and ""is""?",629,python reference equality semantics
Convert nested Python dict to object?,629,python object dictionary
How to import a module given its name as string?,629,python python-import
"Difference between map, applymap and apply methods in Pandas",626,python pandas dataframe vectorization
"Differences between distribute, distutils, setuptools and distutils2?",625,python packaging setuptools distutils distribute
How to return a dict as a JSON response from a Flask view?,624,python json flask
How to check if any value is NaN in a Pandas DataFrame,624,python pandas dataframe nan
Disable output buffering,623,python stdout buffered
Finding the average of a list,622,python list lambda average reduce
"pip uses incorrect cached package version, instead of the user-specified version",622,python pip
